classifier_name,dataset_name,accuracy
Inception,ShapesAll,0.92
Inception,SmallKitchenAppliances,0.7579
Inception,SmoothSubspace,0.98
Inception,SonyAIBORobotSurface1,0.8666
Inception,SonyAIBORobotSurface2,0.954
Inception,StarLightCurves,0.9776
Inception,Strawberry,0.9827
Inception,SwedishLeaf,0.9661
Inception,Symbols,0.9811
Inception,SyntheticControl,0.9953
Inception,ToeSegmentation1,0.9649
Inception,ToeSegmentation2,0.9477
Inception,Trace,1
Inception,TwoLeadECG,0.996
Inception,TwoPatterns,1
Inception,UMD,0.9833
Inception,UWaveGestureLibraryAll,0.9462
Inception,UWaveGestureLibraryX,0.8122
Inception,UWaveGestureLibraryY,0.7544
Inception,UWaveGestureLibraryZ,0.755
Inception,Wafer,0.9987
Inception,Wine,0.6667
Inception,WordSynonyms,0.7292
Inception,Worms,0.7688
Inception,WormsTwoClass,0.7584
Inception,Yoga,0.8998
InceptionTime,ACSF1,0.94
InceptionTime,Adiac,0.8465
InceptionTime,AllGestureWiimoteX,0.7871
InceptionTime,AllGestureWiimoteY,0.8229
InceptionTime,AllGestureWiimoteZ,0.7929
InceptionTime,ArrowHead,0.8514
InceptionTime,BME,0.9933
InceptionTime,Beef,0.7
InceptionTime,BeetleFly,0.85
InceptionTime,BirdChicken,0.95
InceptionTime,CBF,0.9989
InceptionTime,Car,0.9167
InceptionTime,Chinatown,0.9825
InceptionTime,ChlorineConcentration,0.8732
InceptionTime,CinCECGTorso,0.85
InceptionTime,Coffee,1
InceptionTime,Computers,0.792
InceptionTime,CricketX,0.8513
InceptionTime,CricketY,0.859
InceptionTime,CricketZ,0.8538
InceptionTime,Crop,0.7701
InceptionTime,DiatomSizeReduction,0.9444
InceptionTime,DistalPhalanxOutlineAgeGroup,0.741
InceptionTime,DistalPhalanxOutlineCorrect,0.7935
InceptionTime,DistalPhalanxTW,0.6763
InceptionTime,DodgerLoopDay,0.5875
InceptionTime,DodgerLoopGame,0.8623
InceptionTime,DodgerLoopWeekend,0.971
InceptionTime,ECG200,0.93
InceptionTime,ECG5000,0.94
InceptionTime,ECGFiveDays,1
InceptionTime,EOGHorizontalSignal,0.5912
InceptionTime,EOGVerticalSignal,0.4558
InceptionTime,Earthquakes,0.7482
InceptionTime,ElectricDevices,0.7209
InceptionTime,EthanolLevel,0.822
InceptionTime,FaceAll,0.7929
InceptionTime,FaceFour,0.9659
InceptionTime,FacesUCR,0.9698
InceptionTime,FiftyWords,0.8374
InceptionTime,Fish,0.9714
InceptionTime,FordA,0.9614
InceptionTime,FordB,0.8605
InceptionTime,FreezerRegularTrain,0.9965
InceptionTime,FreezerSmallTrain,0.8565
InceptionTime,Fungi,1
InceptionTime,GestureMidAirD1,0.7462
InceptionTime,GestureMidAirD2,0.7154
InceptionTime,GestureMidAirD3,0.3692
